Date,S_temperature,S_humidity,S_uv,S_soilMoisture,S_anRain,Temperature_3h,Humidity_3h,Clouds_3h,PoP_3h
2023-07-28 21:32,17.4,88.12,0.16,72,1,13.11,81,73,36
2023-07-28 21:42,17.37,88.42,0.33,72,1,13.11,81,73,36
2023-07-28 21:52,17.49,87.93,0.17,73,1,13.11,81,73,36
2023-07-28 22:03,17.25,89.61,0.08,72,1,12.0,86,69,32
2023-07-28 22:13,17.22,90.16,0.3,73,1,12.0,88,69,32
2023-07-28 22:23,17.23,90.59,0.3,72,1,12.0,88,69,32
2023-07-28 22:34,16.96,90.84,0.22,72,1,12.98,84,71,32
2023-07-28 22:44,16.85,90.77,0.2,72,1,12.98,84,71,32
2023-07-28 22:55,16.75,91.14,0.23,72,1,12.98,84,71,32
2023-07-28 23:05,16.67,92.19,0.32,72,1,10.74,94,46,6
2023-07-28 23:15,16.71,91.82,0.17,72,1,10.74,94,46,6
2023-07-28 23:26,16.52,93.19,0.22,72,1,10.74,94,46,6
2023-07-28 23:36,16.23,95.99,0.16,72,1,11.14,94,55,6
2023-07-28 23:46,16.24,96.66,0.19,72,1,11.14,94,55,6
2023-07-28 23:57,16.07,96.92,0.26,71,1,11.14,94,55,6
2023-07-29 00:07,16.17,96.35,0.08,72,1,11.52,88,53,22
2023-07-29 00:17,16.2,94.67,0.2,71,1,11.52,88,53,22
2023-07-29 00:28,16.34,93.05,0.2,72,1,11.52,88,53,22
2023-07-29 00:38,16.41,92.99,0.27,71,1,12.73,84,74,22
2023-07-29 00:48,16.08,94.37,0.27,71,1,12.73,84,74,22
2023-07-29 00:59,15.76,96.48,0.19,73,1,12.73,84,74,22
2023-07-29 01:09,15.71,97.78,0.2,71,1,12.17,88,77,26
2023-07-29 01:19,15.59,97.78,0.14,71,1,12.17,88,77,26
2023-07-29 01:30,15.86,97.08,0.04,71,1,12.76,85,76,26
2023-07-29 01:40,15.82,95.66,0.27,72,1,12.76,85,76,26
2023-07-29 01:50,15.83,96.53,0.34,70,1,12.76,85,76,26
2023-07-29 02:01,15.78,97.28,0.0,71,1,12.22,88,78,22
2023-07-29 02:11,15.76,96.41,0.38,70,1,11.82,90,64,22
2023-07-29 02:22,16.11,93.91,0.2,71,1,11.82,90,64,22
2023-07-29 02:32,16.09,93.42,0.04,71,1,12.2,88,56,22
2023-07-29 02:42,15.9,94.23,0.32,71,1,12.2,88,56,22
2023-07-29 02:53,15.92,95.23,0.19,71,1,12.2,88,56,22
2023-07-29 03:03,15.68,96.35,0.2,71,1,11.8,91,66,22
2023-07-29 03:13,15.69,96.53,0.04,70,1,11.8,91,66,22
2023-07-29 03:24,15.64,97.15,0.15,71,1,11.8,91,66,22
2023-07-29 03:34,15.57,96.41,0.19,71,1,12.19,88,57,22
2023-07-29 03:44,15.51,96.46,0.14,71,1,12.19,88,57,22
2023-07-29 03:55,15.41,97.96,0.26,71,1,12.19,88,57,22
2023-07-29 04:05,15.54,96.59,0.18,71,1,12.09,90,62,22
2023-07-29 04:15,15.35,97.33,0.35,71,1,12.09,90,62,22
2023-07-29 04:26,15.43,96.77,0.0,70,1,12.09,90,62,22
2023-07-29 04:36,15.36,97.46,0.37,70,1,12.05,89,55,22
2023-07-29 04:46,15.67,97.14,0.49,70,1,12.05,89,55,22
2023-07-29 04:57,15.82,94.28,0.21,71,1,12.05,89,55,22
2023-07-29 05:07,15.82,94.53,0.25,71,1,13.59,82,41,15
2023-07-29 05:18,15.94,92.16,0.3,71,1,13.59,82,41,15
2023-07-29 05:28,15.9,92.61,0.02,71,1,13.59,82,41,15
2023-07-29 05:49,15.86,94.11,0.06,71,1,12.78,85,61,15
2023-07-29 05:59,15.65,93.41,0.37,71,1,12.78,85,61,15
2023-07-29 06:09,15.54,93.91,0.3,71,1,14.23,77,61,37
2023-07-29 06:20,15.28,96.08,0.18,71,1,14.23,77,61,37
2023-07-29 06:30,15.69,92.89,0.32,71,1,13.81,77,65,37
2023-07-29 06:40,15.94,92.04,0.51,72,1,13.81,77,65,37
2023-07-29 06:51,16.31,92.1,0.5,72,1,13.76,77,76,30
2023-07-29 07:01,17.12,86.06,0.6,71,1,15.04,72,70,38
2023-07-29 07:11,17.92,83.62,0.59,71,1,15.44,70,70,38
2023-07-29 07:22,17.64,83.84,0.71,71,1,15.44,70,70,38
2023-07-29 07:32,18.63,79.79,0.5,73,1,14.95,71,72,38
2023-07-29 07:42,19.04,77.61,0.34,72,1,14.95,71,72,38
2023-07-29 08:03,19.68,75.16,0.73,72,1,15.4,71,70,42
2023-07-29 08:13,18.91,78.73,0.59,71,1,16.2,70,70,42
2023-07-29 08:24,18.69,79.0,0.69,72,1,16.2,70,70,42
2023-07-29 08:34,18.39,80.42,0.38,73,1,16.12,69,71,42
2023-07-29 08:45,18.55,80.14,0.58,71,1,16.12,69,71,42
2023-07-29 08:55,18.9,79.47,0.92,71,1,16.12,69,71,42
2023-07-29 09:05,19.41,77.76,0.89,72,1,16.22,71,73,50
2023-07-29 09:16,19.41,76.93,0.76,71,1,16.22,71,73,50
2023-07-29 09:26,19.19,78.91,0.7,71,1,16.22,71,73,50
2023-07-29 09:36,20.26,75.73,0.83,72,1,16.79,67,74,50
2023-07-29 09:47,20.57,74.02,0.62,70,1,16.79,67,74,50
2023-07-29 09:57,20.16,75.33,5.86,69,1,16.79,67,74,50
2023-07-29 10:07,21.01,73.2,7.64,70,1,16.18,71,74,58
2023-07-29 10:18,21.14,71.28,7.31,70,1,16.18,71,74,58
2023-07-29 10:28,21.49,70.3,7.26,70,1,16.18,71,74,58
2023-07-29 10:38,21.86,69.22,4.91,70,1,16.43,68,75,58
2023-07-29 10:49,21.83,68.68,5.59,71,1,16.43,68,75,58
2023-07-29 10:59,22.57,65.84,7.55,71,1,16.43,68,75,58
2023-07-29 11:09,24.03,60.92,8.18,71,1,17.78,64,44,64
2023-07-29 11:20,24.98,58.43,5.47,70,1,17.78,64,44,64
2023-07-29 11:30,23.94,59.17,4.67,72,1,17.83,64,43,64
2023-07-29 11:40,22.79,63.63,0.84,70,1,17.83,64,43,64
2023-07-29 11:51,21.82,71.34,0.99,72,1,17.83,64,43,64
2023-07-29 12:01,22.36,68.93,4.43,72,1,17.75,64,45,68
2023-07-29 12:12,24.46,62.44,5.69,70,1,17.75,64,59,68
2023-07-29 12:22,24.09,60.36,4.8,71,1,17.75,64,59,68
2023-07-29 12:32,23.55,62.24,4.41,71,1,17.81,64,64,68
2023-07-29 12:43,22.9,64.29,4.3,70,1,18.03,62,65,49
2023-07-29 13:03,21.68,68.03,0.89,71,1,17.92,62,62,49
2023-07-29 13:14,20.84,75.1,4.26,72,11,18.32,61,62,49
2023-07-29 13:24,22.25,67.0,4.49,70,1,18.32,61,62,49
2023-07-29 13:34,22.25,66.13,4.62,72,1,20.13,62,66,49
2023-07-29 13:45,22.7,64.29,5.09,71,1,20.13,62,66,49
2023-07-29 13:55,23.83,61.86,4.44,70,1,20.13,62,66,49
2023-07-29 14:05,22.21,65.72,4.65,70,1,18.59,67,62,57
2023-07-29 14:16,22.02,66.51,4.19,70,1,18.59,67,62,57
2023-07-29 14:36,26.57,51.99,6.1,68,1,18.0,63,67,57
2023-07-29 14:47,27.62,49.37,5.68,64,1,18.0,63,67,57
2023-07-29 14:57,26.7,50.7,5.72,69,1,18.0,63,67,57
2023-07-29 15:18,28.34,45.12,4.66,68,1,15.8,74,37,61
2023-07-29 15:28,27.34,48.28,5.49,69,1,15.8,74,37,61
2023-07-29 15:39,28.96,44.39,5.8,70,1,16.85,69,32,61
2023-07-29 15:49,27.12,48.3,5.44,68,1,16.85,69,32,61
2023-07-29 15:59,26.5,51.14,1.02,70,1,16.85,69,32,61
2023-07-29 16:10,26.36,51.33,4.45,68,1,14.82,76,44,61
2023-07-29 16:30,24.0,56.7,0.81,70,1,16.2,69,42,61
2023-07-29 16:41,22.49,64.86,0.6,71,1,16.2,69,42,61
2023-07-29 16:51,23.63,60.68,4.42,69,1,16.2,69,42,61
2023-07-29 17:01,26.32,51.5,1.06,68,1,14.77,76,76,8
2023-07-29 17:12,25.02,54.05,0.7,70,1,14.77,76,76,8
2023-07-29 17:22,21.91,65.51,0.44,69,1,14.77,76,76,8
2023-07-29 17:32,21.58,66.96,0.32,69,1,16.16,69,64,8
2023-07-29 17:43,21.4,68.73,0.29,69,1,16.16,69,64,8
2023-07-29 17:53,20.01,74.82,0.33,69,1,16.16,69,64,8
2023-07-29 18:03,19.74,75.35,0.26,69,1,14.64,76,74,8
2023-07-29 18:14,19.78,76.26,0.23,69,1,13.84,78,74,8
2023-07-29 18:24,19.14,78.98,0.47,68,1,13.84,78,74,8
2023-07-29 18:35,18.94,79.58,0.19,71,1,14.87,72,62,8
2023-07-29 18:45,18.52,80.61,0.2,69,1,14.52,73,62,11
2023-07-29 18:55,18.45,81.34,0.32,69,1,14.52,73,62,11
2023-07-29 19:06,18.18,82.58,0.0,69,1,13.02,80,74,4
2023-07-29 19:16,18.07,83.62,0.14,69,1,12.62,81,74,4
2023-07-29 19:26,17.9,84.78,0.23,70,1,12.62,81,74,4
2023-07-29 19:37,17.55,87.08,0.29,70,1,13.73,75,63,4
2023-07-29 19:47,17.82,85.88,0.27,71,1,13.73,75,63,4
2023-07-29 19:57,17.81,86.33,0.2,69,1,13.73,75,63,4
2023-07-29 20:08,17.92,84.96,0.2,69,1,11.99,85,72,4
