Date,S_temperature,S_humidity,S_uv,S_soilMoisture,S_anRain,Temperature_10h,Humidity_10h,Clouds_10h,PoP_10h
2023-09-21 00:01,16.25,100.0,0.43,55,1,20.58,37,48,0
2023-09-21 00:11,16.28,100.0,0.2,54,1,20.58,37,48,0
2023-09-21 00:22,15.96,100.0,0.06,54,1,20.58,37,48,0
2023-09-21 00:32,15.82,100.0,0.24,52,1,20.58,37,48,0
2023-09-21 00:42,15.8,100.0,0.32,52,1,20.58,37,48,0
2023-09-21 00:53,15.67,100.0,0.29,52,1,20.56,37,36,0
2023-09-21 01:03,15.51,100.0,0.18,52,1,21.59,34,28,0
2023-09-21 01:13,15.44,100.0,0.29,52,1,21.59,34,28,0
2023-09-21 01:24,14.98,100.0,0.14,52,1,21.59,34,28,0
2023-09-21 01:34,14.72,100.0,0.24,52,1,21.59,34,28,0
2023-09-21 01:44,14.5,100.0,0.47,52,1,21.59,34,28,0
2023-09-21 01:55,14.5,100.0,0.22,52,1,21.59,34,28,0
2023-09-21 02:05,14.33,100.0,0.32,52,1,22.35,33,24,0
2023-09-21 02:15,14.06,100.0,0.07,52,1,22.35,33,24,0
2023-09-21 02:26,13.88,100.0,0.2,52,1,22.35,33,24,0
2023-09-21 02:36,13.48,100.0,0.18,53,1,22.35,33,24,0
2023-09-21 02:46,13.0,100.0,0.32,52,1,22.35,33,24,0
2023-09-21 02:57,13.22,100.0,0.28,52,1,22.35,33,24,0
2023-09-21 03:07,13.44,100.0,0.2,52,1,22.74,32,22,0
2023-09-21 03:18,13.25,100.0,0.23,53,1,22.74,32,22,0
2023-09-21 03:28,13.01,100.0,0.04,52,1,22.74,32,22,0
2023-09-21 03:38,12.78,100.0,0.32,53,1,22.74,32,22,0
2023-09-21 03:49,12.93,100.0,0.27,53,1,22.74,32,22,0
2023-09-21 03:59,12.95,100.0,0.29,52,1,22.74,32,22,0
2023-09-21 04:09,12.82,100.0,0.2,53,1,22.84,32,12,5
2023-09-21 04:20,13.44,100.0,0.23,53,1,22.84,32,12,5
2023-09-21 04:30,13.12,100.0,0.28,53,1,20.95,44,9,4
2023-09-21 04:40,12.35,100.0,0.09,52,1,22.84,32,12,5
2023-09-21 04:51,12.57,100.0,0.23,53,1,22.84,32,12,5
2023-09-21 05:01,12.07,100.0,0.22,53,1,21.95,36,15,5
2023-09-21 05:11,11.94,100.0,0.32,53,1,21.95,36,15,5
2023-09-21 05:22,11.99,100.0,0.32,53,1,21.95,36,15,5
2023-09-21 05:32,12.56,100.0,0.48,53,1,21.95,36,15,5
2023-09-21 05:42,12.79,100.0,0.55,53,1,21.95,36,15,5
2023-09-21 05:53,12.45,100.0,0.6,52,1,21.95,36,15,5
2023-09-21 06:03,12.5,100.0,0.3,56,1,20.18,43,25,8
2023-09-21 06:14,12.5,100.0,0.3,55,1,20.18,43,25,8
2023-09-21 06:24,12.64,100.0,0.23,55,1,20.18,43,25,8
2023-09-21 06:34,13.82,100.0,0.28,54,1,20.18,43,25,8
2023-09-21 06:45,15.93,100.0,0.74,53,1,18.2,57,13,28
2023-09-21 06:55,18.08,99.85,0.44,53,1,19.47,47,38,9
2023-09-21 07:05,19.77,91.62,0.84,52,1,17.05,61,47,33
2023-09-21 07:16,21.71,84.81,0.77,52,1,17.05,61,47,33
2023-09-21 07:26,22.22,81.51,1.03,52,1,17.05,61,47,33
2023-09-21 07:36,21.43,83.87,0.46,52,1,17.05,61,47,33
2023-09-21 07:47,22.65,77.66,0.32,52,1,17.05,61,47,33
2023-09-21 07:57,25.18,67.65,4.38,52,1,17.05,61,47,33
2023-09-21 08:07,26.37,65.39,5.09,51,1,14.95,72,53,37
2023-09-21 08:18,26.45,64.44,5.04,50,1,14.95,72,53,37
2023-09-21 08:28,25.72,66.84,5.43,50,1,14.95,72,53,37
2023-09-21 08:38,27.03,63.3,5.75,50,1,14.95,72,53,37
2023-09-21 08:49,27.82,60.77,6.04,50,1,14.95,72,53,37
2023-09-21 08:59,25.38,67.48,1.05,49,1,14.95,72,53,37
2023-09-21 09:09,27.0,61.3,4.58,49,1,14.07,78,59,20
2023-09-21 09:20,27.21,60.41,6.23,48,1,14.07,78,59,20
2023-09-21 09:30,28.49,56.47,6.17,48,1,14.07,78,59,20
2023-09-21 09:41,27.5,57.98,4.55,47,1,14.07,78,59,20
2023-09-21 09:51,27.31,57.4,5.46,47,1,14.07,78,59,20
2023-09-21 10:01,29.28,57.32,6.59,47,1,12.9,83,43,4
2023-09-21 10:12,23.43,67.7,4.25,48,1,12.9,83,43,4
2023-09-21 10:22,28.52,56.09,6.59,48,1,12.9,83,43,4
2023-09-21 10:32,28.51,54.45,4.39,47,1,12.9,83,43,4
2023-09-21 10:43,29.28,52.87,6.69,47,1,12.9,83,43,4
2023-09-21 10:53,28.78,53.73,6.54,47,1,12.9,83,43,4
2023-09-21 11:03,28.54,55.15,4.27,47,1,12.11,85,38,0
2023-09-21 11:14,29.46,55.42,7.38,47,1,12.11,85,38,0
2023-09-21 11:24,30.08,51.27,7.57,48,1,12.11,85,38,0
2023-09-21 11:34,29.67,53.71,8.65,48,1,12.11,85,38,0
2023-09-21 11:45,29.12,52.56,5.2,49,1,12.11,85,38,0
2023-09-21 11:55,32.35,46.2,8.39,48,1,12.11,85,38,0
2023-09-21 12:05,32.44,47.58,8.64,48,1,11.68,86,37,7
2023-09-21 12:16,31.5,47.21,7.74,48,1,11.68,86,37,7
2023-09-21 12:26,33.03,44.57,7.32,48,1,11.68,86,37,7
2023-09-21 12:37,31.51,47.84,5.2,48,1,11.68,86,37,7
2023-09-21 12:47,30.15,47.96,1.08,48,1,11.68,86,37,7
2023-09-21 12:57,31.93,46.43,6.09,48,1,11.86,84,77,4
2023-09-21 13:08,32.4,44.75,6.72,47,1,11.47,85,69,11
2023-09-21 13:18,30.57,46.73,6.27,48,1,11.47,85,69,11
2023-09-21 13:28,28.89,48.91,6.4,48,1,11.47,85,69,11
2023-09-21 13:39,32.57,42.83,5.53,47,1,11.47,85,69,11
2023-09-21 13:49,33.18,44.53,6.54,48,1,11.47,85,69,11
